"","State","SourceYear","Reservoir.Water.Level","SDP","Gini","Literacy","Rainfall","HydroPower","PerCapitaIncome","MortalityRate","Unemployment","EEP","GiniState","SDP2","SDP3","Dsouth","Dnortheast","Dcentre","Dwest","Dnorth","Deast","region"
"1","ANDHRA PRADESH",2011,990.62,339996,0.28,67.02,861.9,NA,69000,46,13,NA,NA,115597280016,39302612816319936,1,0,0,0,0,0,"South"
"2","ANDHRA PRADESH",2012,931.54,341335,0.28,67.02,1318.4,NA,74687,46,17,NA,NA,116509582225,39768798248770376,1,0,0,0,0,0,"South"
"3","ANDHRA PRADESH",2013,990.01,360239,0.28,67.02,1120.5,NA,82870,46,17,NA,NA,129772137121,46748984904331920,1,0,0,0,0,0,"South"
"4","ANDHRA PRADESH",2014,961.53,397064,0.28,67.02,874.9,3149.59,93903,46,17,598,NA,157659820096,62601038806598144,1,0,0,0,0,0,"South"
"5","ANDHRA PRADESH",2015,865.32,446997,0.28,67.02,1010.9,1904.47,108002,37,17,598,0.27,199806318009,89312824731068976,1,0,0,0,0,0,"South"
"6","ANDHRA PRADESH",2016,850.83,477566,0.28,67.02,908.9,1824.42,120676,34,17,598,0.27,228069284356,108918135852757504,1,0,0,0,0,0,"South"
"7","ANDHRA PRADESH",2017,15147.551,526626,0.291,67.02,892.7,2268.8,138299,32,45,598,0.27,277334943876,146051792153642368,1,0,0,0,0,0,"South"
"8","ANDHRA PRADESH",2018,15726.885,558862,0.291,67.02,892.7,2272.94,154031,32,49,598,0.27,312326735044,174547543800159936,1,0,0,0,0,0,"South"
"9","ANDHRA PRADESH",2019,17672.053,595658,0.291,67.02,892.7,2498.35,169320,32,49,319,0.27,354808452964,211344493475630304,1,0,0,0,0,0,"South"
"10","ANDHRA PRADESH",2020,10776.976,593869,0.291,67.02,892.7,2498.35,169320,32,49,319,0.27,352680389161,209445950030653920,1,0,0,0,0,0,"South"
"11","ANDHRA PRADESH",2021,3572.264,661432,0.291,67.02,892.7,2498.35,169320,32,49,319,0.27,437492290624,289371400772013568,1,0,0,0,0,0,"South"
